A    AX 
queixas  K E+ I SCH AX S 
queixo   K E+ I SCH UX 
quem     K E~+ I~ 
quente   K E~+ TJ IX 
quentes  K E~+ TJ IX S 
quer     K E+ RR 
querem   K E+ R E~ I~ 
queremos     K E R E+ M UX S 
querendo     K E R E~+ D UX 
querer   K E+ R E RR 
quererem     K E R E+ R E~ I~ 
queres   K E+ R IX S 
queria   K E R I+ AX 
queriam  K E R I+ A~+ W~ 
querida  K E R I+ D AX 
querido  K E R I+ D UX 
queridos     K E R I+ D UX S 
quero    K E+ R UX 
queríamos    K E R I+ A M UX S 
questiona    K E S TJ I O+ N AX 
questionada  K E S TJ I O N A+ D AX 
questionado  K E S TJ I O N A+ D UX 
questionados     K E S TJ I O N A+ D UX S 
questionamento   K E S TJ I O N A M E~+ T UX 
questionar   K E S TJ I O N A+ RR 
questionaram     K E S TJ I O N A+ R A~+ W~ 
questionava  K E S TJ I O N A+ V AX 
questionou   K E S TJ I O N O+ 
questionário     K E S TJ I O N A+ R I UX 
questionários    K E S TJ I O N A+ R I UX S 
questão  K E S T A~+ W~ 
questões     K E S T O~+ I~ S 
qui  K I+ 
quieta   K I E+ T AX 
quieto   K I E+ T UX 
quietos  K I E+ T UX S 
quilo    K I+ L UX 
quilos   K I+ L UX S 
quilômetro   K I L O+ M E T R UX 
quilômetros  K I L O+ M E T R UX S 
quimioterapia    K I M I O T E R A P I+ AX 
quinhentos   K I NJ E~+ T UX S 
quinta   K I~+ T AX 
quintal  K I~ T A+ W 
quintas  K I~+ T AX S 
quinteto     K I~ T E+ T UX 
quinto   K I~+ T UX 
quinze   K I~+ Z IX 
quinzena     K I~ Z E+ N AX 
quiosque     K I+ O S K IX 
quis     K I+ S 
quiser   K I+ Z E RR 
quiseram     K I Z E+ R A~+ W~ 
quiserem     K I Z E+ R E~ I~ 
quisermos    K I Z E+ RR M UX S 
quisesse     K I Z E+ S IX 
quisessem    K I Z E+ S E~ I~ 
quo  K U+ UX 
quorum   K U O R U~+ 
quota    K U O+ T AX 
quotas   K U O+ T AX S 
quão     K U A~+ W~ 
quê  K E+ 
química  K I+ M I K AX 
químicas     K I+ M I K AX S 
químico  K I+ M I K UX 
químicos     K I+ M I K UX S 
quórum   K O+ R U~ 
rabino   RR A B I+ N UX 
rabinos  RR A B I+ N UX S 
rabo     RR A+ B UX 
racha    RR A+ SCH AX 
rachaduras   RR A SCH A D U+ R AX S 
raciais  RR A S I A+ IX S 
racial   RR A S I A+ W 
raciocínio   RR A S I O S I+ N I UX 
racionais    RR A S I O N A+ IX S 
racional     RR A S I O N A+ W 
racionalidade    RR A S I O N A L I D A+ DJ IX 
racionalizar     RR A S I O N A L I Z A+ RR 
racionamento     RR A S I O N A M E~+ T UX 
racismo  RR A S I+ Z M UX 
racista  RR A S I+ S T AX 
radares  RR A D A+ R IX S 
radicais     RR A DJ I K A+ IX S 
radical  RR A DJ I K A+ W 
radicalismo  RR A DJ I K A L I+ Z M UX 
radicalizar  RR A DJ I K A L I Z A+ RR 
radicalizou  RR A DJ I K A L I Z O+ 
radicalmente     RR A DJ I K A W M E~+ TJ IX 
radio    RR A DJ I+ UX 
radioatividade   RR A DJ I UX A TJ I V I D A+ DJ IX 
radioativo   RR A DJ I UX A TJ I+ V UX 
radiografia  RR A DJ I UX G R A F I+ AX 
radioterapia     RR A DJ I UX T E R A P I+ AX 
rainha   RR A I+ NJ AX 
rainhas  RR A I+ NJ AX S 
raio     RR A+ I UX 
raios    RR A+ I UX S 
raiva    RR A+ I V AX 
raiz     RR A I+ S 
rajadas  RR A Z A+ D AX S 
rali     RR A L I+ 
ramo     RR A~+ M UX 
ramos    RR A~+ M UX S 
rampa    RR A~+ P AX 
rampas   RR A~+ P AX S 
rancho   RR A~+ SCH UX 
rancor   RR A~ K O+ RR 
rancores     RR A~ K O+ R IX S 
ranking  RR A~ K I~+ G IX 
rapariga     RR A P A R I+ G AX 
rapaz    RR A P A+ S 
rapazes  RR A P A+ Z IX S 
rapidamente  RR A P I D A M E~+ TJ IX 
rapidez  RR A P I D E+ S 
raposa   RR A P O+ Z AX 
raptado  RR A P T A+ D UX 
raquete  RR A K E+ TJ IX 
rara     RR A+ R AX 
raramente    RR A R A M E~+ TJ IX 
raras    RR A+ R AX S 
raro     RR A+ R UX 
raros    RR A+ R UX S 
rascunho     RR A S K U+ NJ UX 
raspada  RR A S P A+ D AX 
rasteira     RR A S T E+ I R AX 
rasteiro     RR A S T E+ I R UX 
rastro   RR A+ S T R UX 
rastros  RR A+ S T R UX S 
ratificado   RR A TJ I F I K A+ D UX 
ratificar    RR A TJ I F I K A+ RR 
ratinho  RR A TJ I+ NJ UX 
rato     RR A+ T UX 
ratos    RR A+ T UX S 
razoavelmente    RR A Z O A V E W M E~+ TJ IX 
razoáveis    RR A Z O A+ V E IX S 
razoável     RR A Z O A+ V E W 
razão    RR A Z A~+ W~ 
razões   RR A Z O~+ I~ S 
raça     RR A+ S AX 
raízes   RR A I+ Z IX S 
reaberta     RR E A B E+ RR T AX 
reabilitar   RR E A B I L I T A+ RR 
reafirmado   RR E A F I RR M A+ D UX 
reafirmar    RR E A F I RR M A+ RR 
reage    RR E A+ Z IX 
reagem   RR E A+ Z E~ I~ 
reagia   RR E A Z I+ AX 
reagiam  RR E A Z I+ A~+ W~ 
reagido  RR E A Z I+ D UX 
reagir   RR E A Z I+ RR 
reagiram     RR E A Z I+ R A~+ W~ 
reagiu   RR E A Z I+ UX 
reagrupadas  RR E A G R U P A+ D AX S 
reais    RR E A+ IX S 
reajustados  RR E A Z U S T A+ D UX S 
reajuste     RR E A Z U+ S TJ IX 
reajustes    RR E A Z U+ S TJ IX S 
real     RR E A+ W 
realidade    RR E A L I D A+ DJ IX 
realidades   RR E A L I D A+ DJ IX S 
realismo     RR E A L I+ Z M UX 
realista     RR E A L I+ S T AX 
realistas    RR E A L I+ S T AX S 
realiza  RR E A L I+ Z AX 
realizada    RR E A L I Z A+ D AX 
realizadas   RR E A L I Z A+ D AX S 
realizado    RR E A L I Z A+ D UX 
realizadores     RR E A L I Z A D O+ R IX S 
realizados   RR E A L I Z A+ D UX S 
realizam     RR E A L I+ Z A~+ W~ 
realizando   RR E A L I Z A~+ D UX 
realizar     RR E A L I Z A+ RR 
realizaram   RR E A L I Z A+ R A~+ W~ 
realizará    RR E A L I Z A R A+ 
realizarão   RR E A L I Z A R A~+ W~ 
realizasse   RR E A L I Z A+ S IX 
realizassem  RR E A L I Z A+ S E~ I~ 
realizava    RR E A L I Z A+ V AX 
realização   RR E A L I Z A S A~+ W~ 
realizações  RR E A L I Z A S O~+ I~ S 
realizou     RR E A L I Z O+ 
realmente    RR E A W M E~+ TJ IX 
reanimar     RR E A N I M A+ RR 
reaparece    RR E A P A R E+ S IX 
reaparecem   RR E A P A R E+ S E~+ I~ 
reaparecer   RR E A P A R E+ S E RR 
reatar   RR E A T A+ RR 
reativar     RR E A TJ I V A+ RR 
reavivou     RR E A V I V O+ 
reação   RR E A S A~+ W~ 
reações  RR E A S O~+ I~ S 
rebaixamento     RR E B A I SCH A M E~+ T UX 
rebate   RR E B A+ TJ IX 
rebateu  RR E B A T E+ UX 
rebelado     RR E B E L A+ D UX 
rebelde  RR E B E+ W DJ IX 
rebeldes     RR E B E+ W DJ IX S 
rebelião     RR E B E L I A~+ W~ 
rebeliões    RR E B E L I O~+ I~ S 
rebote   RR E B O+ TJ IX 
recado   RR E K A+ D UX 
recai    RR E K A+ IX 
receba   RR E S E+ B AX 
recebe   RR E S E+ B IX 
recebem  RR E S E+ B E~+ I~ 
recebemos    RR E S E B E+ M UX S 
recebendo    RR E S E B E~+ D UX 
receber  RR E S E+ B E RR 
receberam    RR E S E B E+ R A~+ W~ 
receberem    RR E S E B E+ R E~ I~ 
receberia    RR E S E B E R I+ AX 
receberá     RR E S E B E R A+ 
recebeu  RR E S E B E+ UX 
recebi   RR E S E B I+ 
recebia  RR E S E B I+ AX 
recebida     RR E S E B I+ D AX 
recebidas    RR E S E B I+ D AX S 
recebido     RR E S E B I+ D UX 
recebidos    RR E S E B I+ D UX S 
recebimento  RR E S E B I M E~+ T UX 
recebo   RR E S E+ B UX 
receio   RR E S E+ I UX 
receios  RR E S E+ I UX S 
receita  RR E S E+ I T AX 
receitas     RR E S E+ I T AX S 
recente  RR E S E~+ TJ IX 
recentemente     RR E S E~ T E M E~+ TJ IX 
recentes     RR E S E~+ TJ IX S 
receptores   RR E S E P T O+ R IX S 
recessivo    RR E S E S I+ V UX 
recessão     RR E S E S A~+ W~ 
recheada     RR E SCH E A+ D AX 
recheio  RR E SCH E+ I UX 
recibe   RR E S I+ B IX 
recibo   RR E S I+ B UX 
recibos  RR E S I+ B UX S 
reciclado    RR E S I K L A+ D UX 
reciclagem   RR E S I K L A+ Z E~ I~ 
recinto  RR E S I~+ T UX 
recipiente   RR E S I P I E~+ TJ IX 
recipientes  RR E S I P I E~+ TJ IX S 
reclama  RR E K L A~+ M AX 
reclamado    RR E K L A M A+ D UX 
reclamam     RR E K L A~+ M A~+ W~ 
reclamando   RR E K L A M A~+ D UX 
reclamar     RR E K L A M A+ RR 
reclamaram   RR E K L A M A+ R A~+ W~ 
reclamava    RR E K L A M A+ V AX 
reclamavam   RR E K L A M A+ V A~+ W~ 
reclamação   RR E K L A M A S A~+ W~ 
reclamações  RR E K L A M A S O~+ I~ S 
reclamo  RR E K L A~+ M UX 
reclamou     RR E K L A M O+ 
reclusos     RR E K L U+ Z UX S 
reclusão     RR E K L U Z A~+ W~ 
recolhe  RR E K O+ LJ IX 
recolhendo   RR E K O LJ E~+ D UX 
recolher     RR E K O+ LJ E RR 
recolheu     RR E K O LJ E+ UX 
recolhidas   RR E K O LJ I+ D AX S 
recolhido    RR E K O LJ I+ D UX 
recolhidos   RR E K O LJ I+ D UX S 
recolhimento     RR E K O LJ I M E~+ T UX 
recomenda    RR E K O M E~+ D AX 
recomendada  RR E K O M E~ D A+ D AX 
recomendado  RR E K O M E~ D A+ D UX 
recomendam   RR E K O M E~+ D A~+ W~ 
recomendação     RR E K O M E~ D A S A~+ W~ 
recomendações    RR E K O M E~ D A S O~+ I~ S 
recomendou   RR E K O M E~ D O+ 
recomendável     RR E K O M E~ D A+ V E W 
recompensa   RR E K O~ P E~+ S AX 
recompensada     RR E K O~ P E~ S A+ D AX 
recompensado     RR E K O~ P E~ S A+ D UX 
recompensar  RR E K O~ P E~ S A+ RR 
recompensas  RR E K O~ P E~+ S AX S 
recompor     RR E K O~ P O+ RR 
recompra     RR E K O~+ P R AX 
reconciliar  RR E K O~ S I L I A+ RR 
reconhece    RR E K O NJ E+ S IX 
reconhecem   RR E K O NJ E+ S E~+ I~ 
reconhecer   RR E K O NJ E+ S E RR 
reconheceu   RR E K O NJ E S E+ UX 
reconhecia   RR E K O NJ E S I+ AX 
reconhecida  RR E K O NJ E S I+ D AX 
reconhecidas     RR E K O NJ E S I+ D AX S 
reconhecido  RR E K O NJ E S I+ D UX 
reconhecidos     RR E K O NJ E S I+ D UX S 
reconhecimento   RR E K O NJ E S I M E~+ T UX 
reconheçam   RR E K O NJ E S A~+ W~ 
reconheço    RR E K O NJ E+ S UX 
reconquista  RR E K O~ K I+ S T AX 
reconsiderar     RR E K O~ S I D E R A+ RR 
reconstruir  RR E K O~ S T R U I+ RR 
reconstrução     RR E K O~ S T R U S A~+ W~ 
recorda  RR E K O+ RR D AX 
recordar     RR E K O RR D A+ RR 
recorde  RR E K O+ RR DJ IX 
recordes     RR E K O+ RR DJ IX S 
recordo  RR E K O+ RR D UX 
recorra  RR E K O+ RR AX 
recorram     RR E K O+ RR A~+ W~ 
recorre  RR E K O+ RR IX 
recorrem     RR E K O+ RR E~ I~ 
recorrendo   RR E K O RR E~+ D UX 
recorrentes  RR E K O RR E~+ TJ IX S 
recorrer     RR E K O+ RR E RR 
recorreu     RR E K O RR E+ UX 
recorrido    RR E K O RR I+ D UX 
recorte  RR E K O+ RR TJ IX 
recortes     RR E K O+ RR TJ IX S 
recreio  RR E K R E+ I UX 
recriar  RR E K R I A+ RR 
recrudescimento  RR E K R U D E S I M E~+ T UX 
recruta  RR E K R U+ T AX 
recrutamento     RR E K R U T A M E~+ T UX 
recta    RR E+ K T AX 
recua    RR E K U+ AX 
recuado  RR E K U A+ D UX 
recuar   RR E K U A+ RR 
recuo    RR E K U+ UX 
recuou   RR E K U O+ UX 
recupera     RR E K U P E+ R AX 
recuperada   RR E K U P E R A+ D AX 
recuperadas  RR E K U P E R A+ D AX S 
recuperado   RR E K U P E R A+ D UX 
recuperados  RR E K U P E R A+ D UX S 
recuperam    RR E K U P E+ R A~+ W~ 
recuperamos  RR E K U P E R A~+ M UX S 
recuperando  RR E K U P E R A~+ D UX 
recuperar    RR E K U P E R A+ RR 
recuperaram  RR E K U P E R A+ R A~+ W~ 
recuperasse  RR E K U P E R A+ S IX 
recuperação  RR E K U P E R A S A~+ W~ 
recupere     RR E K U P E+ R IX 
recuperou    RR E K U P E R O+ 
recurso  RR E K U+ RR S UX 
recursos     RR E K U+ RR S UX S 
recusa   RR E K U+ Z AX 
recusado     RR E K U Z A+ D UX 
recusam  RR E K U+ Z A~+ W~ 
recusando    RR E K U Z A~+ D UX 
recusar  RR E K U Z A+ RR 
recusaram    RR E K U Z A+ R A~+ W~ 
recusava     RR E K U Z A+ V AX 
recusou  RR E K U Z O+ 
recém    RR E S E~+ I~ 
recíproca    RR E S I+ P R O K AX 
rede     RR E+ DJ IX 
redemoinho   RR E D E M O I+ NJ UX 
redes    RR E+ DJ IX S 
redobrar     RR E D O B R A+ RR 
redonda  RR E D O~+ D AX 
redondezas   RR E D O~ D E+ Z AX S 
redondos     RR E D O~+ D UX S 
redor    RR E D O+ RR 
reduto   RR E D U+ T UX 
redutos  RR E D U+ T UX S 
reduz    RR E D U+ S 
reduza   RR E D U+ Z AX 
reduzam  RR E D U+ Z A~+ W~ 
reduzem  RR E D U+ Z E~ I~ 
reduzida     RR E D U Z I+ D AX 
reduzidas    RR E D U Z I+ D AX S 
reduzido     RR E D U Z I+ D UX 
reduzidos    RR E D U Z I+ D UX S 
reduzindo    RR E D U Z I~+ D UX 
reduzir  RR E D U Z I+ RR 
reduziram    RR E D U Z I+ R A~+ W~ 
reduzirem    RR E D U Z I+ R E~ I~ 
reduziria    RR E D U Z I R I+ AX 
reduzirá     RR E D U Z I R A+ 
reduzisse    RR E D U Z I+ S IX 
reduziu  RR E D U Z I+ UX 
redução  RR E D U S A~+ W~ 
reduções     RR E D U S O~+ I~ S 
reeleger     RR E E L E+ Z E RR 
reeleito     RR E E L E+ I T UX 
reeleitos    RR E E L E+ I T UX S 
reeleição    RR E E L E I S A~+ W~ 
reembolso    RR E E~ B O+ W S UX 
reencontrar  RR E E~ K O~ T R A+ RR 
reestruturar     RR E E S T R U T U R A+ RR 
reestruturação   RR E E S T R U T U R A S A~+ W~ 
refazer  RR E F A+ Z E RR 
refeitório   RR E F E I T O+ R I UX 
refeição     RR E F E I S A~+ W~ 
refere   RR E F E+ R IX 
referem  RR E F E+ R E~ I~ 
referente    RR E F E R E~+ TJ IX 
referentes   RR E F E R E~+ TJ IX S 
referiam     RR E F E R I+ A~+ W~ 
referidas    RR E F E R I+ D AX S 
referido     RR E F E R I+ D UX 
referimos    RR E F E R I+ M UX S 
referindo    RR E F E R I~+ D UX 
referir  RR E F E R I+ RR 
referiu  RR E F E R I+ UX 
referência   RR E F E R E~+ S I AX 
referências  RR E F E R E~+ S I AX S 
refinado     RR E F I N A+ D UX 
refinaria    RR E F I N A R I+ AX 
reflete  RR E F L E+ TJ IX 
refletem     RR E F L E+ T E~ I~ 
refletido    RR E F L E TJ I+ D UX 
refletindo   RR E F L E TJ I~+ D UX 
refletir     RR E F L E TJ I+ RR 
refletiu     RR E F L E TJ I+ UX 
reflexo  RR E F L E+ SCH UX 
reflexos     RR E F L E+ SCH UX S 
reflexão     RR E F L E SCH A~+ W~ 
reflexões    RR E F L E SCH O~+ I~ S 
reflita  RR E F L I+ T AX 
reflorestamento  RR E F L O R E S T A M E~+ T UX 
reforce  RR E F O+ RR S IX 
reforma  RR E F O+ RR M AX 
reformada    RR E F O RR M A+ D AX 
reformado    RR E F O RR M A+ D UX 
reformadores     RR E F O RR M A D O+ R IX S 
reformados   RR E F O RR M A+ D UX S 
reformas     RR E F O+ RR M AX S 
reformista   RR E F O RR M I+ S T AX 
reformistas  RR E F O RR M I+ S T AX S 
reforça  RR E F O+ RR S AX 
reforçada    RR E F O RR S A+ D AX 
reforçam     RR E F O+ RR S A~+ W~ 
reforçar     RR E F O RR S A+ RR 
reforço  RR E F O RR S UX 
reforçou     RR E F O RR S O+ 
refrigerante     RR E F R I Z E R A~+ TJ IX 
refrigerantes    RR E F R I Z E R A~+ TJ IX S 
refrão   RR E F R A~+ W~ 
refugiados   RR E F U Z I A+ D UX S 
refém    RR E F E~+ I~ 
reféns   RR E F E~+ I~ S 
refúgio  RR E F U+ Z I UX 
refúgios     RR E F U+ Z I UX S 
regalias     RR E G A L I+ AX S 
regatas  RR E G A+ T AX S 
regem    RR E+ Z E~ I~ 
regido   RR E Z I+ D UX 
regime   RR E Z I+ M IX 
regimento    RR E Z I M E~+ T UX 
regimes  RR E Z I+ M IX S 
regionais    RR E Z I O N A+ IX S 
regional     RR E Z I O N A+ W 
regionalistas    RR E Z I O N A L I+ S T AX S 
registra     RR E Z I+ S T R AX 
registrada   RR E Z I S T R A+ D AX 
registradas  RR E Z I S T R A+ D AX S 
registrado   RR E Z I S T R A+ D UX 
registrados  RR E Z I S T R A+ D UX S 
registram    RR E Z I+ S T R A~+ W~ 
registrando  RR E Z I S T R A~+ D UX 
registrar    RR E Z I S T R A+ RR 
registraram  RR E Z I S T R A+ R A~+ W~ 
registrava   RR E Z I S T R A+ V AX 
registravam  RR E Z I S T R A+ V A~+ W~ 
registro     RR E Z I+ S T R UX 
registros    RR E Z I+ S T R UX S 
registrou    RR E Z I S T R O+ 
região   RR E Z I A~+ W~ 
regiões  RR E Z I O~+ I~ S 
regra    RR E+ G R AX 
regras   RR E+ G R AX S 
regressa     RR E G R E+ S AX 
regressar    RR E G R E S A+ RR 
regressará   RR E G R E S A R A+ 
regresse     RR E G R E+ S IX 
regressiva   RR E G R E S I+ V AX 
regresso     RR E G R E+ S UX 
regressou    RR E G R E S O+ 
regula   RR E G U+ L AX 
regulador    RR E G U L A D O+ RR 
regulamentado    RR E G U L A M E~ T A+ D UX 
regulamentação   RR E G U L A M E~ T A S A~+ W~ 
regulamente  RR E G U L A M E~+ TJ IX 
regulamento  RR E G U L A M E~+ T UX 
regulamentos     RR E G U L A M E~+ T UX S 
regular  RR E G U L A+ RR 
regulares    RR E G U L A+ R IX S 
regularidade     RR E G U L A R I D A+ DJ IX 
regularizar  RR E G U L A R I Z A+ RR 
regularmente     RR E G U L A RR M E~+ TJ IX 
rei  RR E+ IX 
reias    RR E+ I AX S 
reinado  RR E I N A+ D UX 
reinando     RR E I N A~+ D UX 
reinante     RR E I N A~+ TJ IX 
reinar   RR E I N A+ RR 
reincidentes     RR E I~ S I D E~+ TJ IX S 
reincidência     RR E I~ S I D E~+ S I AX 
reino    RR E+ I N UX 
reinício     RR E I N I+ S I UX 
reis     RR E+ IX S 
reitera  RR E I T E+ R AX 
reiteradamente   RR E I T E R A D A M E~+ TJ IX 
reiterar     RR E I T E R A+ RR 
reiterou     RR E I T E R O+ 
reitor   RR E I T O+ RR 
reitores     RR E I T O+ R IX S 
reitoria     RR E I T O R I+ AX 
reivindicadas    RR E I V I~ DJ I K A+ D AX S 
reivindicam  RR E I V I~ DJ I+ K A~+ W~ 
reivindicando    RR E I V I~ DJ I K A~+ D UX 
reivindicar  RR E I V I~ DJ I K A+ RR 
reivindicaram    RR E I V I~ DJ I K A+ R A~+ W~ 
reivindicação    RR E I V I~ DJ I K A S A~+ W~ 
rejeita  RR E Z E+ I T AX 
rejeitadas   RR E Z E I T A+ D AX S 
rejeitado    RR E Z E I T A+ D UX 
rejeitados   RR E Z E I T A+ D UX S 
rejeitam     RR E Z E I+ T A~+ W~ 
rejeitando   RR E Z E I T A~+ D UX 
rejeitar     RR E Z E I T A+ RR 
rejeitaram   RR E Z E I T A+ R A~+ W~ 
rejeitarem   RR E Z E I T A+ R E~ I~ 
rejeição     RR E Z E I S A~+ W~ 
rejuvenescimento     RR E Z U V E N E S I M E~+ T UX 
relaciona    RR E L A S I O+ N AX 
relacionada  RR E L A S I O N A+ D AX 
relacionadas     RR E L A S I O N A+ D AX S 
relacionado  RR E L A S I O N A+ D UX 
relacionados     RR E L A S I O N A+ D UX S 
relacionamento   RR E L A S I O N A M E~+ T UX 
relacionamentos  RR E L A S I O N A M E~+ T UX S 
relacionar   RR E L A S I O N A+ RR 
relacionaram     RR E L A S I O N A+ R A~+ W~ 
relacionou   RR E L A S I O N O+ 
relata   RR E L A+ T AX 
relatado     RR E L A T A+ D UX 
relatam  RR E L A+ T A~+ W~ 
relataram    RR E L A T A+ R A~+ W~ 
relativa     RR E L A TJ I+ V AX 
relativamente    RR E L A TJ I V A M E~+ TJ IX 
relativas    RR E L A TJ I+ V AX S 
relatividade     RR E L A TJ I V I D A+ DJ IX 
relativo     RR E L A TJ I+ V UX 
relativos    RR E L A TJ I+ V UX S 
relato   RR E L A+ T UX 
relator  RR E L A T O+ RR 
relatos  RR E L A+ T UX S 
relatou  RR E L A T O+ 
relatório    RR E L A T O+ R I UX 
relatórios   RR E L A T O+ R I UX S 
relaxamento  RR E L A SCH A M E~+ T UX 
relaxar  RR E L A SCH A+ RR 
relação  RR E L A S A~+ W~ 
relações     RR E L A S O~+ I~ S 
relembra     RR E L E~+ B R AX 
relembrar    RR E L E~ B R A+ RR 
reler    RR E+ L E RR 
relevante    RR E L E V A~+ TJ IX 
relevantes   RR E L E V A~+ TJ IX S 
relevo   RR E L E+ V UX 
relevância   RR E L E V A~+ S I AX 
religiosa    RR E L I Z I O+ Z AX 
religiosamente   RR E L I Z I O Z A M E~+ TJ IX 
religiosas   RR E L I Z I O+ Z AX S 
religiosidade    RR E L I Z I O Z I D A+ DJ IX 
religioso    RR E L I Z I O+ Z UX 
religiosos   RR E L I Z I O+ Z UX S 
religião     RR E L I Z I A~+ W~ 
religiões    RR E L I Z I O~+ I~ S 
relutantes   RR E L U T A~+ TJ IX S 
relva    RR E+ W V AX 
relâmpago    RR E L A~+ P A G UX 
relíquia     RR E L I+ K I AX 
relógio  RR E L O+ Z I UX 
relógios     RR E L O+ Z I UX S 
remanejamento    RR E M A N E Z A M E~+ T UX 
remo     RR E+ M UX 
remontam     RR E M O~+ T A~+ W~ 
remorso  RR E M O+ RR S UX 
remorsos     RR E M O+ RR S UX S 
remota   RR E M O+ T AX 
remotamente  RR E M O T A M E~+ TJ IX 
remoto   RR E M O+ T UX 
remover  RR E M O+ V E RR 
remoção  RR E M O S A~+ W~ 
remuneração  RR E M U N E R A S A~+ W~ 
remédio  RR E M E+ DJ I UX 
remédios     RR E M E+ DJ I UX S 
renais   RR E N A+ IX S 
renal    RR E N A+ W 
renascer     RR E N A+ S E RR 
renda    RR E~+ D AX 
rendas   RR E~+ D AX S 
rende    RR E~+ DJ IX 
rendem   RR E~+ D E~ I~ 
rendendo     RR E~ D E~+ D UX 
render   RR E~+ D E RR 
renderam     RR E~ D E+ R A~+ W~ 
renderem     RR E~ D E+ R E~ I~ 
rendeu   RR E~ D E+ UX 
rendido  RR E~ DJ I+ D UX 
rendimento   RR E~ DJ I M E~+ T UX 
rendimentos  RR E~ DJ I M E~+ T UX S 
renegar  RR E N E G A+ RR 
renegociado  RR E N E G O S I A+ D UX 
renegociação     RR E N E G O S I A S A~+ W~ 
renomados    RR E N O M A+ D UX S 
renome   RR E N O+ M IX 
renova   RR E N O+ V AX 
renovada     RR E N O V A+ D AX 
renovado     RR E N O V A+ D UX 
renovadora   RR E N O V A D O+ R AX 
renovando    RR E N O V A~+ D UX 
renovar  RR E N O V A+ RR 
renovaram    RR E N O V A+ R A~+ W~ 
renovação    RR E N O V A S A~+ W~ 
renová   RR E N O V A+ 
renováveis   RR E N O V A+ V E IX S 
rentabilidade    RR E~ T A B I L I D A+ DJ IX 
rente    RR E~+ TJ IX 
rentáveis    RR E~ T A+ V E IX S 
rentável     RR E~ T A+ V E W 
renunciar    RR E N U~ S I A+ RR 
reorganização    RR E O RR G A N I Z A S A~+ W~ 
reparado     RR E P A R A+ D UX 
reparar  RR E P A R A+ RR 
reparação    RR E P A R A S A~+ W~ 
reparo   RR E P A+ R UX 
reparos  RR E P A+ R UX S 
reparou  RR E P A R O+ 
repartidas   RR E P A RR TJ I+ D AX S 
repartidos   RR E P A RR TJ I+ D UX S 
repassado    RR E P A S A+ D UX 
repassar     RR E P A S A+ RR 
repasse  RR E P A+ S IX 
repasses     RR E P A+ S IX S 
repensar     RR E P E~ S A+ RR 
repente  RR E P E~+ TJ IX 
repentina    RR E P E~ TJ I+ N AX 
repentinamente   RR E P E~ TJ I N A M E~+ TJ IX 
repercussão  RR E P E RR K U S A~+ W~ 
